sample	pop	super_pop
NA19131	YRI	AFR
NA19137	YRI	AFR
NA19138	YRI	AFR
NA19141	YRI	AFR
NA19143	YRI	AFR
NA19144	YRI	AFR
NA19146	YRI	AFR
NA19147	YRI	AFR
NA19149	YRI	AFR
NA19152	YRI	AFR
NA19153	YRI	AFR
NA19159	YRI	AFR
NA19160	YRI	AFR
NA19171	YRI	AFR
NA19172	YRI	AFR
NA19175	YRI	AFR
NA19184	YRI	AFR
NA19185	YRI	AFR
NA19189	YRI	AFR
NA19190	YRI	AFR
NA19197	YRI	AFR
NA19198	YRI	AFR
NA19200	YRI	AFR
NA19201	YRI	AFR
NA19204	YRI	AFR
NA19206	YRI	AFR
NA19207	YRI	AFR
NA19209	YRI	AFR
NA19210	YRI	AFR
NA19213	YRI	AFR
NA19214	YRI	AFR
NA19222	YRI	AFR
NA19223	YRI	AFR
NA19225	YRI	AFR
NA19235	YRI	AFR
NA19236	YRI	AFR
NA19238	YRI	AFR
NA19239	YRI	AFR
NA19247	YRI	AFR
NA19248	YRI	AFR
NA19256	YRI	AFR
NA19257	YRI	AFR
NA19307	LWK	AFR
NA19308	LWK	AFR
NA19309	LWK	AFR
NA19310	LWK	AFR
NA19312	LWK	AFR
NA19314	LWK	AFR
NA19315	LWK	AFR
NA19316	LWK	AFR
NA19317	LWK	AFR
NA19318	LWK	AFR
NA19319	LWK	AFR
NA19320	LWK	AFR
NA19321	LWK	AFR
NA19323	LWK	AFR
NA19324	LWK	AFR
NA19327	LWK	AFR
NA19328	LWK	AFR
NA19331	LWK	AFR
NA19332	LWK	AFR
NA19334	LWK	AFR
NA19338	LWK	AFR
NA19346	LWK	AFR
NA19347	LWK	AFR
NA19350	LWK	AFR
NA19351	LWK	AFR
NA19355	LWK	AFR
NA19360	LWK	AFR
NA19372	LWK	AFR
NA19374	LWK	AFR
NA19375	LWK	AFR
NA19376	LWK	AFR
NA19377	LWK	AFR
NA19378	LWK	AFR
NA19379	LWK	AFR
NA19380	LWK	AFR
NA19383	LWK	AFR
NA19384	LWK	AFR
NA19385	LWK	AFR
NA19390	LWK	AFR
NA19391	LWK	AFR
NA19393	LWK	AFR
NA19394	LWK	AFR
NA19395	LWK	AFR
NA19397	LWK	AFR
NA19399	LWK	AFR
NA19401	LWK	AFR
NA19403	LWK	AFR
NA19404	LWK	AFR
NA19428	LWK	AFR
NA19429	LWK	AFR
NA19430	LWK	AFR
NA19431	LWK	AFR
NA19434	LWK	AFR
NA19435	LWK	AFR
NA19436	LWK	AFR
NA19437	LWK	AFR
NA19438	LWK	AFR
NA19439	LWK	AFR
NA19440	LWK	AFR
NA19443	LWK	AFR
NA19445	LWK	AFR
NA19446	LWK	AFR
NA19448	LWK	AFR
NA19449	LWK	AFR
NA19451	LWK	AFR
NA19452	LWK	AFR
NA19454	LWK	AFR
NA19455	LWK	AFR
NA19456	LWK	AFR
NA19457	LWK	AFR
NA19461	LWK	AFR
NA19462	LWK	AFR
NA19463	LWK	AFR
NA19466	LWK	AFR
NA19467	LWK	AFR
NA19468	LWK	AFR
NA19471	LWK	AFR
NA19472	LWK	AFR
NA19473	LWK	AFR
NA19474	LWK	AFR
NA19475	LWK	AFR
NA20502	TSI	EUR
NA20503	TSI	EUR
NA20504	TSI	EUR
NA20505	TSI	EUR
NA20506	TSI	EUR
NA20507	TSI	EUR
NA20508	TSI	EUR
NA20509	TSI	EUR
NA20510	TSI	EUR
NA20511	TSI	EUR
NA20512	TSI	EUR
NA20513	TSI	EUR
NA20514	TSI	EUR
NA20515	TSI	EUR
NA20516	TSI	EUR
NA20517	TSI	EUR
NA20518	TSI	EUR
NA20519	TSI	EUR
NA20520	TSI	EUR
NA20521	TSI	EUR
NA20522	TSI	EUR
NA20524	TSI	EUR
NA20525	TSI	EUR
NA20527	TSI	EUR
NA20528	TSI	EUR
NA20529	TSI	EUR
NA20530	TSI	EUR
NA20531	TSI	EUR
NA20532	TSI	EUR
NA20533	TSI	EUR
NA20534	TSI	EUR
NA20535	TSI	EUR
NA20536	TSI	EUR
NA20538	TSI	EUR
NA20539	TSI	EUR
NA20540	TSI	EUR
NA20541	TSI	EUR
NA20542	TSI	EUR
NA20543	TSI	EUR
NA20544	TSI	EUR
NA20581	TSI	EUR
NA20582	TSI	EUR
NA20585	TSI	EUR
NA20586	TSI	EUR
NA20587	TSI	EUR
NA20588	TSI	EUR
NA20589	TSI	EUR
NA20752	TSI	EUR
NA20753	TSI	EUR
NA20754	TSI	EUR
NA20755	TSI	EUR
NA20756	TSI	EUR
NA20757	TSI	EUR
NA20758	TSI	EUR
NA20759	TSI	EUR
NA20760	TSI	EUR
NA20761	TSI	EUR
NA20762	TSI	EUR
NA20763	TSI	EUR
NA20764	TSI	EUR
NA20765	TSI	EUR
NA20766	TSI	EUR
NA20767	TSI	EUR
NA20768	TSI	EUR
NA20769	TSI	EUR
NA20770	TSI	EUR
NA20771	TSI	EUR
NA20772	TSI	EUR
NA20773	TSI	EUR
NA20774	TSI	EUR
NA20775	TSI	EUR
NA20778	TSI	EUR
NA20783	TSI	EUR
NA20785	TSI	EUR
NA20786	TSI	EUR
NA20787	TSI	EUR
NA20790	TSI	EUR
NA20792	TSI	EUR
NA20795	TSI	EUR
NA20796	TSI	EUR
NA20797	TSI	EUR
NA20798	TSI	EUR
NA20799	TSI	EUR
NA20800	TSI	EUR
NA20801	TSI	EUR
NA20802	TSI	EUR
NA20803	TSI	EUR
NA20804	TSI	EUR
NA20805	TSI	EUR
NA20806	TSI	EUR
NA20807	TSI	EUR
NA20808	TSI	EUR
NA20809	TSI	EUR
NA20810	TSI	EUR
NA20811	TSI	EUR
NA20812	TSI	EUR
NA20813	TSI	EUR
NA20814	TSI	EUR
NA20815	TSI	EUR
NA20818	TSI	EUR
NA20819	TSI	EUR
NA20821	TSI	EUR
NA20822	TSI	EUR
NA20826	TSI	EUR
NA20827	TSI	EUR
NA20828	TSI	EUR
NA20832	TSI	EUR
HG00551	PUR	AMR
HG00552	PUR	AMR
HG00553	PUR	AMR
HG00554	PUR	AMR
HG00555	PUR	AMR
HG00637	PUR	AMR
HG00638	PUR	AMR
HG00639	PUR	AMR
HG00640	PUR	AMR
HG00641	PUR	AMR
HG00642	PUR	AMR
HG00731	PUR	AMR
HG00732	PUR	AMR
HG00733	PUR	AMR
HG00734	PUR	AMR
HG00735	PUR	AMR
HG00736	PUR	AMR
HG00737	PUR	AMR
HG00738	PUR	AMR
HG00739	PUR	AMR
HG00740	PUR	AMR
HG00741	PUR	AMR
HG00742	PUR	AMR
HG00743	PUR	AMR
HG01047	PUR	AMR
HG01048	PUR	AMR
HG01049	PUR	AMR
HG01050	PUR	AMR
HG01051	PUR	AMR
HG01052	PUR	AMR
HG01053	PUR	AMR
HG01054	PUR	AMR
HG01055	PUR	AMR
HG01056	PUR	AMR
HG01058	PUR	AMR
HG01060	PUR	AMR
HG01061	PUR	AMR
HG01062	PUR	AMR
HG01063	PUR	AMR
HG01064	PUR	AMR
HG01066	PUR	AMR
HG01067	PUR	AMR
HG01068	PUR	AMR
HG01069	PUR	AMR
HG01070	PUR	AMR
HG01071	PUR	AMR
HG01072	PUR	AMR
HG01073	PUR	AMR
HG01074	PUR	AMR
HG01075	PUR	AMR
HG01077	PUR	AMR
HG01079	PUR	AMR
HG01080	PUR	AMR
HG01081	PUR	AMR
HG01082	PUR	AMR
HG01083	PUR	AMR
HG01084	PUR	AMR
HG01085	PUR	AMR
HG01086	PUR	AMR
HG01087	PUR	AMR
HG01088	PUR	AMR
HG01089	PUR	AMR
HG01090	PUR	AMR
HG01092	PUR	AMR
HG01094	PUR	AMR
HG01095	PUR	AMR
HG01096	PUR	AMR
HG01097	PUR	AMR
HG01098	PUR	AMR
HG01099	PUR	AMR
HG01100	PUR	AMR
HG01101	PUR	AMR
HG01102	PUR	AMR
HG01103	PUR	AMR
HG01104	PUR	AMR
HG01105	PUR	AMR
HG01106	PUR	AMR
HG01107	PUR	AMR
HG01108	PUR	AMR
HG01109	PUR	AMR
HG01110	PUR	AMR
HG01111	PUR	AMR
HG01112	CLM	AMR
HG01113	CLM	AMR
HG01114	CLM	AMR
HG01119	CLM	AMR
HG01121	CLM	AMR
HG01122	CLM	AMR
HG01123	CLM	AMR
HG01124	CLM	AMR
HG01125	CLM	AMR
HG01126	CLM	AMR
HG01130	CLM	AMR
HG01131	CLM	AMR
HG01133	CLM	AMR
HG01134	CLM	AMR
HG01135	CLM	AMR
HG01136	CLM	AMR
HG01137	CLM	AMR
HG01138	CLM	AMR
HG01139	CLM	AMR
HG01140	CLM	AMR
HG01141	CLM	AMR
HG01142	CLM	AMR
HG01148	CLM	AMR
HG01149	CLM	AMR
HG01150	CLM	AMR
HG01161	PUR	AMR
HG01162	PUR	AMR
HG01164	PUR	AMR
HG01167	PUR	AMR
HG01168	PUR	AMR
HG01169	PUR	AMR
HG01170	PUR	AMR
HG01171	PUR	AMR
HG01172	PUR	AMR
HG01173	PUR	AMR
HG01174	PUR	AMR
HG01175	PUR	AMR
HG01176	PUR	AMR
HG01177	PUR	AMR
HG01178	PUR	AMR
HG01182	PUR	AMR
HG01183	PUR	AMR
HG01184	PUR	AMR
HG01187	PUR	AMR
HG01188	PUR	AMR
HG01189	PUR	AMR
HG01190	PUR	AMR
HG01191	PUR	AMR
HG01192	PUR	AMR
HG01195	PUR	AMR
HG01197	PUR	AMR
HG01198	PUR	AMR
HG01199	PUR	AMR
HG01200	PUR	AMR
HG01204	PUR	AMR
HG01205	PUR	AMR
HG01206	PUR	AMR
HG01241	PUR	AMR
HG01242	PUR	AMR
HG01243	PUR	AMR
HG01247	PUR	AMR
HG01248	PUR	AMR
HG01249	PUR	AMR
HG01250	CLM	AMR
HG01251	CLM	AMR
HG01252	CLM	AMR
HG01253	CLM	AMR
HG01254	CLM	AMR
HG01255	CLM	AMR
HG01256	CLM	AMR
HG01257	CLM	AMR
HG01258	CLM	AMR
HG01259	CLM	AMR
HG01260	CLM	AMR
HG01261	CLM	AMR
HG01269	CLM	AMR
HG01271	CLM	AMR
HG01272	CLM	AMR
HG01273	CLM	AMR
HG01274	CLM	AMR
HG01275	CLM	AMR
HG01276	CLM	AMR
HG01277	CLM	AMR
HG01278	CLM	AMR
HG01279	CLM	AMR
HG01280	CLM	AMR
HG01281	CLM	AMR
HG01284	CLM	AMR
HG01286	PUR	AMR
HG01301	PUR	AMR
HG01302	PUR	AMR
HG01303	PUR	AMR
HG01305	PUR	AMR
HG01308	PUR	AMR
HG01311	PUR	AMR
HG01312	PUR	AMR
HG01322	PUR	AMR
HG01323	PUR	AMR
HG01324	PUR	AMR
HG01325	PUR	AMR
HG01326	PUR	AMR
HG01327	PUR	AMR
HG01341	CLM	AMR
HG01342	CLM	AMR
HG01343	CLM	AMR
HG01344	CLM	AMR
HG01345	CLM	AMR
HG01346	CLM	AMR
HG01347	CLM	AMR
HG01348	CLM	AMR
HG01349	CLM	AMR
HG01350	CLM	AMR
HG01351	CLM	AMR
HG01352	CLM	AMR
HG01353	CLM	AMR
HG01354	CLM	AMR
HG01355	CLM	AMR
HG01356	CLM	AMR
HG01357	CLM	AMR
HG01358	CLM	AMR
HG01359	CLM	AMR
HG01360	CLM	AMR
HG01361	CLM	AMR
HG01362	CLM	AMR
HG01363	CLM	AMR
HG01364	CLM	AMR
HG01365	CLM	AMR
HG01366	CLM	AMR
HG01367	CLM	AMR
HG01369	CLM	AMR
HG01372	CLM	AMR
HG01374	CLM	AMR
HG01375	CLM	AMR
HG01376	CLM	AMR
HG01377	CLM	AMR
HG01378	CLM	AMR
HG01379	CLM	AMR
HG01383	CLM	AMR
HG01384	CLM	AMR
HG01385	CLM	AMR
HG01389	CLM	AMR
HG01390	CLM	AMR
HG01391	CLM	AMR
HG01392	PUR	AMR
HG01393	PUR	AMR
HG01394	PUR	AMR
HG01395	PUR	AMR
HG01396	PUR	AMR
HG01397	PUR	AMR
HG01398	PUR	AMR
HG01402	PUR	AMR
HG01403	PUR	AMR
HG01404	PUR	AMR
HG01405	PUR	AMR
HG01411	PUR	AMR
HG01412	PUR	AMR
HG01413	PUR	AMR
HG01414	PUR	AMR
HG01415	PUR	AMR
HG01431	CLM	AMR
HG01432	CLM	AMR
HG01433	CLM	AMR
HG01435	CLM	AMR
HG01437	CLM	AMR
HG01438	CLM	AMR
HG01439	CLM	AMR
HG01440	CLM	AMR
HG01441	CLM	AMR
HG01442	CLM	AMR
HG01443	CLM	AMR
HG01444	CLM	AMR
HG01445	CLM	AMR
HG01447	CLM	AMR
HG01452	CLM	AMR
HG01453	CLM	AMR
HG01454	CLM	AMR
HG01455	CLM	AMR
HG01456	CLM	AMR
HG01457	CLM	AMR
HG01459	CLM	AMR
HG01461	CLM	AMR
HG01462	CLM	AMR
HG01463	CLM	AMR
HG01464	CLM	AMR
HG01465	CLM	AMR
HG01466	CLM	AMR
HG01468	CLM	AMR
HG01471	CLM	AMR
HG01473	CLM	AMR
HG01474	CLM	AMR
HG01477	CLM	AMR
HG01479	CLM	AMR
HG01480	CLM	AMR
HG01481	CLM	AMR
HG01482	CLM	AMR
HG01483	CLM	AMR
HG01484	CLM	AMR
HG01485	CLM	AMR
HG01486	CLM	AMR
HG01487	CLM	AMR
HG01488	CLM	AMR
HG01489	CLM	AMR
HG01490	CLM	AMR
HG01491	CLM	AMR
HG01492	CLM	AMR
HG01493	CLM	AMR
HG01494	CLM	AMR
HG01495	CLM	AMR
HG01496	CLM	AMR
HG01497	CLM	AMR
HG01498	CLM	AMR
HG01499	CLM	AMR
HG01550	CLM	AMR
HG01551	CLM	AMR
HG01552	CLM	AMR
HG01556	CLM	AMR
HG01565	PEL	AMR
HG01566	PEL	AMR
HG01567	PEL	AMR
HG01571	PEL	AMR
HG01572	PEL	AMR
HG01573	PEL	AMR
HG01577	PEL	AMR
HG01578	PEL	AMR
HG01579	PEL	AMR
HG01892	PEL	AMR
HG01893	PEL	AMR
HG01898	PEL	AMR
HG01917	PEL	AMR
HG01918	PEL	AMR
HG01919	PEL	AMR
HG01920	PEL	AMR
HG01921	PEL	AMR
HG01922	PEL	AMR
HG01923	PEL	AMR
HG01924	PEL	AMR
HG01925	PEL	AMR
HG01926	PEL	AMR
HG01927	PEL	AMR
HG01928	PEL	AMR
HG01932	PEL	AMR
HG01933	PEL	AMR
HG01934	PEL	AMR
HG01935	PEL	AMR
HG01936	PEL	AMR
HG01937	PEL	AMR
HG01938	PEL	AMR
HG01939	PEL	AMR
HG01940	PEL	AMR
HG01941	PEL	AMR
HG01942	PEL	AMR
HG01943	PEL	AMR
HG01944	PEL	AMR
HG01945	PEL	AMR
HG01946	PEL	AMR
HG01947	PEL	AMR
HG01948	PEL	AMR
HG01949	PEL	AMR
HG01950	PEL	AMR
HG01951	PEL	AMR
HG01952	PEL	AMR
HG01953	PEL	AMR
HG01954	PEL	AMR
HG01955	PEL	AMR
HG01961	PEL	AMR
HG01965	PEL	AMR
HG01967	PEL	AMR
HG01968	PEL	AMR
HG01969	PEL	AMR
HG01970	PEL	AMR
HG01971	PEL	AMR
HG01972	PEL	AMR
HG01973	PEL	AMR
HG01974	PEL	AMR
HG01975	PEL	AMR
HG01976	PEL	AMR
HG01977	PEL	AMR
HG01978	PEL	AMR
HG01979	PEL	AMR
HG01980	PEL	AMR
HG01981	PEL	AMR
HG01982	PEL	AMR
HG01983	PEL	AMR
HG01984	PEL	AMR
HG01991	PEL	AMR
HG01992	PEL	AMR
HG01993	PEL	AMR
HG01995	PEL	AMR
HG01997	PEL	AMR
HG01998	PEL	AMR
HG02002	PEL	AMR
HG02003	PEL	AMR
HG02004	PEL	AMR
HG02006	PEL	AMR
HG02008	PEL	AMR
HG02089	PEL	AMR
HG02090	PEL	AMR
HG02091	PEL	AMR
HG02102	PEL	AMR
HG02104	PEL	AMR
HG02105	PEL	AMR
HG02106	PEL	AMR
HG02146	PEL	AMR
HG02147	PEL	AMR
HG02148	PEL	AMR
HG02150	PEL	AMR
HG02252	PEL	AMR
HG02253	PEL	AMR
HG02254	PEL	AMR
HG02259	PEL	AMR
HG02260	PEL	AMR
HG02261	PEL	AMR
HG02262	PEL	AMR
HG02265	PEL	AMR
HG02266	PEL	AMR
HG02267	PEL	AMR
HG02271	PEL	AMR
HG02272	PEL	AMR
HG02273	PEL	AMR
HG02274	PEL	AMR
HG02275	PEL	AMR
HG02276	PEL	AMR
HG02277	PEL	AMR
HG02278	PEL	AMR
HG02279	PEL	AMR
HG02285	PEL	AMR
HG02286	PEL	AMR
HG02287	PEL	AMR
HG02288	PEL	AMR
HG02291	PEL	AMR
HG02292	PEL	AMR
HG02293	PEL	AMR
HG02298	PEL	AMR
HG02299	PEL	AMR
HG02300	PEL	AMR
HG02301	PEL	AMR
HG02302	PEL	AMR
HG02303	PEL	AMR
HG02304	PEL	AMR
HG02312	PEL	AMR
HG02344	PEL	AMR
HG02345	PEL	AMR
HG02347	PEL	AMR
HG02348	PEL	AMR
HG02415	PEL	AMR
HG02425	PEL	AMR
NA19648	MXL	AMR
NA19649	MXL	AMR
NA19650	MXL	AMR
NA19651	MXL	AMR
NA19652	MXL	AMR
NA19653	MXL	AMR
NA19654	MXL	AMR
NA19655	MXL	AMR
NA19656	MXL	AMR
NA19657	MXL	AMR
NA19658	MXL	AMR
NA19659	MXL	AMR
NA19660	MXL	AMR
NA19661	MXL	AMR
NA19662	MXL	AMR
NA19663	MXL	AMR
NA19664	MXL	AMR
NA19665	MXL	AMR
NA19669	MXL	AMR
NA19670	MXL	AMR
NA19671	MXL	AMR
NA19672	MXL	AMR
NA19674	MXL	AMR
NA19675	MXL	AMR
NA19676	MXL	AMR
NA19677	MXL	AMR
NA19678	MXL	AMR
NA19679	MXL	AMR
NA19680	MXL	AMR
NA19681	MXL	AMR
NA19682	MXL	AMR
NA19683	MXL	AMR
NA19684	MXL	AMR
NA19685	MXL	AMR
NA19686	MXL	AMR
NA19716	MXL	AMR
NA19717	MXL	AMR
NA19718	MXL	AMR
NA19719	MXL	AMR
NA19720	MXL	AMR
NA19721	MXL	AMR
NA19722	MXL	AMR
NA19723	MXL	AMR
NA19724	MXL	AMR
NA19725	MXL	AMR
NA19726	MXL	AMR
NA19727	MXL	AMR
NA19728	MXL	AMR
NA19729	MXL	AMR
NA19730	MXL	AMR
NA19731	MXL	AMR
NA19732	MXL	AMR
NA19733	MXL	AMR
NA19734	MXL	AMR
NA19735	MXL	AMR
NA19737	MXL	AMR
NA19738	MXL	AMR
NA19740	MXL	AMR
NA19741	MXL	AMR
NA19742	MXL	AMR
NA19746	MXL	AMR
NA19747	MXL	AMR
NA19748	MXL	AMR
NA19749	MXL	AMR
NA19750	MXL	AMR
NA19751	MXL	AMR
NA19752	MXL	AMR
NA19753	MXL	AMR
NA19754	MXL	AMR
NA19755	MXL	AMR
NA19756	MXL	AMR
NA19757	MXL	AMR
NA19758	MXL	AMR
NA19759	MXL	AMR
NA19760	MXL	AMR
NA19761	MXL	AMR
NA19762	MXL	AMR
NA19763	MXL	AMR
NA19764	MXL	AMR
NA19766	MXL	AMR
NA19770	MXL	AMR
NA19771	MXL	AMR
NA19772	MXL	AMR
NA19773	MXL	AMR
NA19774	MXL	AMR
NA19775	MXL	AMR
NA19776	MXL	AMR
NA19777	MXL	AMR
NA19778	MXL	AMR
NA19779	MXL	AMR
NA19780	MXL	AMR
NA19781	MXL	AMR
NA19782	MXL	AMR
NA19783	MXL	AMR
NA19784	MXL	AMR
NA19785	MXL	AMR
NA19786	MXL	AMR
NA19787	MXL	AMR
NA19788	MXL	AMR
NA19789	MXL	AMR
NA19790	MXL	AMR
NA19792	MXL	AMR
NA19794	MXL	AMR
NA19795	MXL	AMR
NA19796	MXL	AMR
NA19797	MXL	AMR
NA19798	MXL	AMR
HG01565	PEL	AMR
HG01566	PEL	AMR
HG01571	PEL	AMR
HG01572	PEL	AMR
HG01577	PEL	AMR
HG01578	PEL	AMR
HG01892	PEL	AMR
HG01893	PEL	AMR
HG01917	PEL	AMR
HG01918	PEL	AMR
HG01920	PEL	AMR
HG01921	PEL	AMR
HG01923	PEL	AMR
HG01924	PEL	AMR
HG01926	PEL	AMR
HG01927	PEL	AMR
HG01932	PEL	AMR
HG01933	PEL	AMR
HG01935	PEL	AMR
HG01936	PEL	AMR
HG01938	PEL	AMR
HG01939	PEL	AMR
HG01941	PEL	AMR
HG01942	PEL	AMR
HG01944	PEL	AMR
HG01945	PEL	AMR
HG01947	PEL	AMR
HG01948	PEL	AMR
HG01950	PEL	AMR
HG01951	PEL	AMR
HG01953	PEL	AMR
HG01954	PEL	AMR
HG01961	PEL	AMR
HG01965	PEL	AMR
HG01967	PEL	AMR
HG01968	PEL	AMR
HG01970	PEL	AMR
HG01971	PEL	AMR
HG01973	PEL	AMR
HG01974	PEL	AMR
HG01976	PEL	AMR
HG01977	PEL	AMR
HG01979	PEL	AMR
HG01980	PEL	AMR
HG01982	PEL	AMR
HG01991	PEL	AMR
HG01992	PEL	AMR
HG01997	PEL	AMR
HG02002	PEL	AMR
HG02003	PEL	AMR
HG02006	PEL	AMR
HG02008	PEL	AMR
HG02089	PEL	AMR
HG02090	PEL	AMR
HG02102	PEL	AMR
HG02104	PEL	AMR
HG02105	PEL	AMR
HG02146	PEL	AMR
HG02147	PEL	AMR
HG02150	PEL	AMR
HG02252	PEL	AMR
HG02253	PEL	AMR
HG02259	PEL	AMR
HG02260	PEL	AMR
HG02262	PEL	AMR
HG02265	PEL	AMR
HG02266	PEL	AMR
HG02271	PEL	AMR
HG02272	PEL	AMR
HG02274	PEL	AMR
HG02275	PEL	AMR
HG02277	PEL	AMR
HG02278	PEL	AMR
HG02285	PEL	AMR
HG02286	PEL	AMR
HG02291	PEL	AMR
HG02292	PEL	AMR
HG02298	PEL	AMR
HG02299	PEL	AMR
HG02301	PEL	AMR
HG02304	PEL	AMR
HG02312	PEL	AMR
HG02345	PEL	AMR
HG02348	PEL	AMR
HG02425	PEL	AMR
NA19648	MXL	AMR
NA19649	MXL	AMR
NA19651	MXL	AMR
NA19652	MXL	AMR
NA19654	MXL	AMR
NA19655	MXL	AMR
NA19657	MXL	AMR
NA19658	MXL	AMR
NA19661	MXL	AMR
NA19663	MXL	AMR
NA19664	MXL	AMR
NA19669	MXL	AMR
NA19670	MXL	AMR
NA19676	MXL	AMR
NA19678	MXL	AMR
NA19679	MXL	AMR
NA19681	MXL	AMR
NA19682	MXL	AMR
NA19684	MXL	AMR
NA19716	MXL	AMR
NA19717	MXL	AMR
NA19719	MXL	AMR
NA19720	MXL	AMR
NA19722	MXL	AMR
NA19723	MXL	AMR
NA19725	MXL	AMR
NA19726	MXL	AMR
NA19728	MXL	AMR
NA19729	MXL	AMR
NA19731	MXL	AMR
NA19732	MXL	AMR
NA19734	MXL	AMR
NA19735	MXL	AMR
NA19740	MXL	AMR
NA19741	MXL	AMR
NA19746	MXL	AMR
NA19747	MXL	AMR
NA19749	MXL	AMR
NA19750	MXL	AMR
NA19752	MXL	AMR
NA19755	MXL	AMR
NA19756	MXL	AMR
NA19758	MXL	AMR
NA19759	MXL	AMR
NA19761	MXL	AMR
NA19762	MXL	AMR
NA19764	MXL	AMR
NA19770	MXL	AMR
NA19771	MXL	AMR
NA19773	MXL	AMR
NA19774	MXL	AMR
NA19776	MXL	AMR
NA19777	MXL	AMR
NA19779	MXL	AMR
NA19780	MXL	AMR
NA19782	MXL	AMR
NA19783	MXL	AMR
NA19785	MXL	AMR
NA19786	MXL	AMR
NA19788	MXL	AMR
NA19789	MXL	AMR
NA19792	MXL	AMR
NA19794	MXL	AMR
NA19795	MXL	AMR
